question_id,student_id,teacher_score,baseline_score,tolerance,undercredit_unsafe,overcredit_unsafe,unsafe,U_E,U_S,U_R,U_R_undercredit_existing,U_R_allocation_undercredit,U_R_allocation_overcredit,U_R_allocation_disagreement,U_R_deterministic_undercredit,U_R_deterministic_overcredit,deterministic_coverage,missing_judgement_risk,fusion_status,undercredit_probability,overcredit_probability,combined_probability,oof_threshold,oof_route,inner_threshold_feasible
CO_1,ANS_CO_134,5.0,0.3,0.5,True,False,True,0.3,1.0,0.4,0.0,0.133333,0.066667,0.2,0.904762,0.0,0.7,0.0,diagnostic_only,0.7802180296056505,0.4424975005062079,0.7802180296056505,0.5233849746347494,BND,False
CO_1,ANS_CO_132,2.0,1.0,0.5,True,False,True,0.0,0.0,0.233333,0.052,0.2,0.2,0.4,0.466667,0.066667,1.0,0.0,diagnostic_only,0.7178188021788792,0.18091811407955893,0.7178188021788792,0.5233849746347494,BND,False
CO_1,ANS_CO_23,5.0,5.0,0.5,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,diagnostic_only,0.20371423637942687,0.21331813108686803,0.21331813108686803,0.5233849746347494,POS,False
CO_1,ANS_CO_32,5.0,5.0,0.5,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,diagnostic_only,0.20371423637942687,0.21331813108686803,0.21331813108686803,0.5233849746347494,POS,False
CO_1,ANS_CO_37,0.0,0.0,0.5,False,False,False,0.3,0.0,0.3,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0.0,diagnostic_only,0.6222120161192967,0.08219824383559936,0.6222120161192967,0.5233849746347494,BND,False
CO_1,ANS_CO_44,2.0,2.0,0.5,False,False,False,0.3,0.0,0.3,0.0758,0.0,0.0,0.0,0.428571,0.0,0.7,0.0,diagnostic_only,0.534084994725725,0.08219824383559936,0.534084994725725,0.5233849746347494,BND,False
CO_1,ANS_CO_47,5.0,5.0,0.5,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,diagnostic_only,0.20371423637942687,0.21331813108686803,0.21331813108686803,0.5233849746347494,POS,False
CO_1,ANS_CO_58,5.0,5.0,0.5,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.0,diagnostic_only,0.20371423637942687,0.5160174762045352,0.5160174762045352,0.5233849746347494,POS,False
CO_1,ANS_CO_61,2.0,2.0,0.5,False,False,False,0.3,0.0,0.3,0.0758,0.0,0.0,0.0,0.428571,0.0,0.7,0.0,diagnostic_only,0.534084994725725,0.08219824383559936,0.534084994725725,0.5233849746347494,BND,False
CO_1,ANS_CO_73,5.0,5.0,0.5,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,diagnostic_only,0.20371423637942687,0.21331813108686803,0.21331813108686803,0.5233849746347494,POS,False
CO_1,ANS_CO_76,5.0,5.0,0.5,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.0,diagnostic_only,0.20371423637942687,0.5160174762045352,0.5160174762045352,0.5233849746347494,POS,False
CO_1,ANS_CO_87,0.0,0.0,0.5,False,False,False,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,diagnostic_only,0.3198792737349017,0.08219824383559936,0.3198792737349017,0.5233849746347494,POS,False
CO_1,ANS_CO_88,5.0,5.0,0.5,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,diagnostic_only,0.20371423637942687,0.21331813108686803,0.21331813108686803,0.5233849746347494,POS,False
